,coef,std_err,t,p,ci_low,ci_high
Intercept,5.688228763011802,2.4146024683243636,2.355762009536585,0.018742964969523684,0.9479938800174841,10.428463646006119
seconds_after_rat_arrival,0.0014644329099037492,0.001154629921599675,1.2683136670101705,0.20508214387818408,-0.0008022826687952009,0.003731148488602699
hours_after_sunset_d1,0.02041384826960342,0.15588896534755886,0.13095120763737297,0.8958492580745926,-0.2856200935937927,0.3264477901329995
season,-0.32414134292572333,1.1700947984444798,-0.27702143737125895,0.7818404888936528,-2.6212168461433576,1.9729341602919108
bat_landing_number,-0.004189247223291591,0.011065732187889189,-0.3785784033230519,0.7051088180957964,-0.025912976247434615,0.017534481800851435
rat_arrival_number,-0.24779123818371188,0.1867407317855372,-1.3269265671952504,0.1849395175557989,-0.6143919281515221,0.11880945178409832
food_availability,0.32134854367187476,0.5151302399546084,0.6238199949204903,0.532936760236062,-0.6899311037032085,1.3326281910469582
rat_minutes,-0.25470510008333036,0.15721780426686968,-1.620077962995722,0.10563870755376033,-0.5633477564998797,0.053937556333219006
season:rat_minutes,0.26661101827804135,0.16087506450950426,1.6572550823268846,0.09788892824621191,-0.049211400772626146,0.5824334373287088
