value,group,t,p_one_sided,n0,n1,mean0,mean1
bat_landing_to_food,risk,7.447189971573186,1.4486397931277875e-13,377,377,4.204489687580902,7.728832795572945
bat_landing_number,rat_present,5.98456676853897,1.2693483947535502e-09,1402,1014,35.146219686162624,41.36883629191321
seconds_after_rat_arrival,risk,0.809660250723256,0.20919582931215597,377,377,269.6710875331565,283.57824933687004
